Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:60.76
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
Device: 0 | Name: b'NVIDIA A100-SXM4-40GB' | Mem used:61.01
