Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
Device: 0 | Name: b'Tesla V100-PCIE-32GB' | Mem used:26.72Device: 1 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 2 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83Device: 3 | Name: b'Tesla V100-PCIE-32GB' | Mem used:0.83
